FID	IID	PC1	PC2	PC3	PC4	PC5	PC6
HG00284	HG00284	0.0799098	0.0134407	0.0450291	0.0539016	-0.0796002	-0.0277403
HG00285	HG00285	0.0913267	-0.0521721	0.104968	0.0194078	-0.0590151	-0.00984502
HG00288	HG00288	0.10057	-0.0154413	0.0530619	0.0148981	-0.0820925	0.00138025
HG00290	HG00290	0.0760626	-0.0411822	0.00309661	0.0279589	0.111039	0.072766
HG00304	HG00304	0.0907396	-0.0696129	0.0710604	-0.00617319	-0.0942624	-0.057883
HG00306	HG00306	0.0483449	0.0312314	-0.0805558	-0.0194638	-0.0372293	0.13373
HG00308	HG00308	0.0679439	-0.0126556	-0.0125354	-0.0555411	-0.0157003	0.0426841
HG00309	HG00309	0.0540194	-0.05786	0.0849175	-0.124639	0.115391	0.0123024
HG00310	HG00310	0.0542458	-0.0230561	-0.0387318	0.0402087	0.000709944	-0.00925942
HG00311	HG00311	0.0781113	0.0211224	-0.0303393	-0.0364826	-0.00306988	0.062037
HG00313	HG00313	0.0968359	-0.0616236	-0.00822248	0.00179159	-0.0190992	-0.0176736
HG00315	HG00315	0.0672036	-0.0235116	-0.0978011	0.00234315	-0.0534648	-0.0467498
HG00318	HG00318	0.061568	0.0023389	-0.0581955	-0.0140096	0.0756965	-0.070282
HG00319	HG00319	0.0761572	-0.0426074	-0.051891	-0.101466	-0.0223511	0.0345845
HG00320	HG00320	0.0652688	-0.00568074	-0.0967375	-0.00643358	0.0133163	0.0164999
HG00321	HG00321	0.0751963	-0.0312221	-0.0146305	0.0725942	-0.0223769	-0.01893
HG00323	HG00323	0.113094	0.0073503	-0.0386802	0.0421237	-0.0190844	0.101664
HG00324	HG00324	0.0925365	-0.0204141	0.0310416	-0.00499878	-0.0113869	-0.0639619
HG00325	HG00325	0.136161	-0.0786104	0.0701677	0.0182508	-0.00510434	-0.0756786
HG00326	HG00326	0.0621114	-0.0434182	-0.00888797	-0.158456	-0.0616944	0.0149836
HG00327	HG00327	0.0787729	-0.0546159	-0.00732361	0.0263606	0.0190429	-0.0353439
HG00328	HG00328	0.0680481	-0.0715663	0.0751115	-0.00458079	-0.0601481	0.0334695
HG00329	HG00329	0.0709491	-0.0408153	-0.030191	-0.0425928	-0.0438488	0.0298155
HG00330	HG00330	0.0714031	0.0253055	-0.0115724	0.0444887	-0.0160674	-0.0105874
HG00331	HG00331	0.058115	0.0288707	-0.0612359	0.0857254	0.0204574	-0.0197491
HG00332	HG00332	0.0903425	-0.00508002	0.0939616	0.035266	-0.0750286	-0.0758389
HG00334	HG00334	0.063781	0.00203124	0.0222037	-0.0934126	-0.0352611	-0.0571184
HG00335	HG00335	0.0570047	-0.0623629	-0.0658204	-0.0768473	0.0679377	-0.0509356
HG00336	HG00336	0.0651999	-0.0420091	0.0631485	-0.0165743	0.0693104	0.0828689
HG00337	HG00337	0.0706463	-0.00826907	0.0194516	-0.0341907	0.0305321	0.0741824
HG00338	HG00338	0.0963017	-0.0023421	-0.0662811	0.0128273	-0.0833874	0.0195384
HG00339	HG00339	0.0855274	-0.070536	-0.00136418	-0.0780928	0.00185031	0.0124766
HG00341	HG00341	0.0294362	-0.0177935	-0.0851097	-0.00865574	0.0162109	-0.0140767
HG00342	HG00342	0.091829	-0.0713371	0.0448212	-0.0873827	0.0638676	-0.00106948
HG00343	HG00343	0.0753001	0.0280221	-0.077319	-0.0182254	-0.0429106	-0.0544763
HG00344	HG00344	0.0472618	-0.011672	-0.0962419	0.031702	-0.0141561	0.032106
HG00345	HG00345	0.0747793	-0.0996795	0.0674469	0.0968371	-0.00909899	-0.0511636
HG00346	HG00346	0.0574146	-0.0386515	-0.097019	0.00428191	0.040985	-0.00218565
HG00349	HG00349	0.0903247	-0.0223222	6.2746e-05	-0.014337	0.0484714	0.012207
HG00350	HG00350	0.0369099	0.0361357	0.00125298	-0.0205238	-0.0631344	0.0486363
HG00351	HG00351	0.103046	0.00649671	0.024223	-0.0143715	0.0815904	-0.0259212
HG00353	HG00353	0.0834232	0.0199797	0.0220923	0.0362929	-0.00795377	-0.00262438
HG00355	HG00355	0.0612264	-0.0064567	-0.00462459	0.0104309	-0.0300245	-0.0236664
HG00356	HG00356	0.0803433	-0.00610935	0.0199632	-0.115171	-0.0187625	0.00615298
HG00357	HG00357	0.0861386	-0.000663135	0.0470713	-0.00275325	0.024684	0.0395893
HG00358	HG00358	0.096466	-0.0737139	-0.04959	-0.0353551	0.0312576	0.130863
HG00360	HG00360	0.0626981	-0.0133845	0.0280689	0.0972771	0.0229517	-0.0279507
HG00361	HG00361	0.0795157	-0.035068	-0.0350271	-0.0219742	0.0849918	0.00557274
HG00362	HG00362	0.0736862	0.062214	0.00570692	0.065178	0.0312314	0.0887709
HG00364	HG00364	0.0621906	0.0142499	-0.0272565	-0.0141921	0.0284829	0.116046
HG00365	HG00365	0.122209	-0.00306041	0.0843137	-0.0377873	0.0301661	-0.0313056
HG00366	HG00366	0.077108	-0.0612467	0.0243829	0.0196285	-0.0569357	0.0305932
HG00367	HG00367	0.0488731	-0.018053	-0.0229831	0.0264024	0.046962	-0.0533843
HG00368	HG00368	0.104571	-0.0343677	0.0250006	-0.0177331	-0.0350933	0.00144478
HG00369	HG00369	0.0808766	-0.0214374	0.0434203	0.0171672	-0.045424	-0.0733214
HG00371	HG00371	0.107589	-0.0578599	-0.012012	-0.0168145	0.0762575	-0.0129722
HG00372	HG00372	0.0748332	-0.00932361	-0.00343245	0.00353087	-0.00269966	0.0753755
HG00373	HG00373	0.0636737	-0.0319086	0.0473933	-0.00455245	0.0304026	-0.00818571
HG00375	HG00375	0.0866925	0.00556188	-0.0050123	-0.0580939	0.0552211	0.0579059
HG00376	HG00376	0.0595909	-0.0835809	-0.0855497	0.0462294	-0.0221835	0.0375584
HG00378	HG00378	0.0986064	-0.0699923	0.0297869	0.0337476	0.0175671	-0.0913977
HG00379	HG00379	0.0730686	-0.0297438	-0.0767206	0.0476621	-0.020076	0.0506463
HG00380	HG00380	0.0539622	0.0288996	-0.0522738	-0.00236453	-0.00590641	-0.0543328
HG00381	HG00381	0.0937795	0.00486308	0.0310582	-0.028053	-0.0286701	-0.0640265
HG00382	HG00382	0.101639	-0.00430751	-0.0136277	0.0551546	-0.0230028	0.0424127
HG00383	HG00383	0.0715059	-0.108538	0.00200783	-0.0334922	-0.120974	-0.0753832
HG00384	HG00384	0.0712986	-0.0266073	0.00734859	-0.000254608	0.0474271	-0.0241009
HG01334	HG01334	0.0191524	0.0882939	-0.0543517	0.0474236	0.0423634	-0.00563884
HG01500	HG01500	-0.00578296	-0.01455	-0.0606475	-0.0453213	-0.0428289	0.100973
HG01501	HG01501	-0.026736	0.0380118	0.0265157	0.0784993	-0.00400856	0.00931239
HG01503	HG01503	-0.0112383	-0.0406349	0.0215948	-0.0579783	-0.0306284	0.00445089
HG01504	HG01504	-0.0294558	-0.0633319	0.090606	0.065841	0.0302721	0.0428307
HG01506	HG01506	-0.0565146	0.00925893	0.021534	0.089187	-0.022244	-0.0418127
HG01507	HG01507	-0.0223041	0.0477373	-0.0384288	0.0310219	-0.0438618	0.00898345
HG01509	HG01509	-0.0375824	0.0495366	0.054524	-0.0479696	0.00860129	0.0497965
HG01510	HG01510	-0.0424177	0.0462225	0.03306	-0.0806618	-0.0623124	0.0679962
HG01512	HG01512	-0.0232083	-0.00569782	0.0481309	0.00659891	-0.0597288	0.0434952
HG01513	HG01513	-0.0551957	-0.0352456	-0.0208846	0.0402306	0.028863	0.0720753
HG01515	HG01515	-0.0298801	0.0182227	0.0984051	0.0616841	0.0566775	0.0616
HG01516	HG01516	-0.038421	-0.0124963	0.014193	0.00125203	0.0965889	0.0467168
HG01518	HG01518	-0.0366837	0.00197302	0.041823	0.0112388	-0.0332117	-0.020215
HG01519	HG01519	-0.0328495	0.0351754	0.0659135	0.0481362	0.025547	0.0282892
HG01521	HG01521	-0.0539507	-0.0160372	0.0278649	0.00757447	-0.0147786	-0.0301799
HG01522	HG01522	-0.0248606	0.103264	0.0442464	0.00730012	0.0240792	0.061796
HG01524	HG01524	-0.0346963	-0.0281918	0.0713935	-0.0718633	-0.0433054	-0.0110669
HG01525	HG01525	-0.0208716	-0.0135085	0.0258632	0.0776508	0.0399854	0.0202406
HG01527	HG01527	-0.0209472	-0.0101586	0.0169271	-0.0312782	-0.0425595	0.0723652
HG01528	HG01528	-0.0422481	-0.0749715	0.00740298	0.0699883	0.0205103	-0.0616627
HG01530	HG01530	-0.0181877	0.00157552	-0.0195687	-0.0668634	-0.0118421	-0.0459806
HG01531	HG01531	-0.00299746	-0.0147701	-0.0255445	0.0491922	-0.0378228	-0.0185258
HG01536	HG01536	-0.0271571	-0.0300018	0.0551135	-0.014932	0.015451	-0.0395028
HG01537	HG01537	-0.0580529	0.0135393	0.00653738	-0.0547684	-0.0817278	-0.0274407
HG01602	HG01602	-0.0214935	-0.0689821	0.0137116	-0.00839183	-0.0254854	-0.0800546
HG01603	HG01603	-0.0203245	-0.0198109	-0.0650292	0.054647	-0.0650989	0.0192928
HG01605	HG01605	-0.0312488	-0.047069	-0.0480258	0.0740357	0.00257384	0.00287858
HG01606	HG01606	-0.0184569	0.0720516	-0.0168404	-0.0336732	0.0235803	0.00479487
HG01607	HG01607	-0.04488	-0.0184747	0.0487735	0.0286232	-0.0830491	-0.0800008
HG01608	HG01608	-0.0381291	-0.0109406	0.0335546	-0.062076	-0.0436016	-0.064802
HG01610	HG01610	-0.0208184	-0.0198604	-0.0161589	0.00367119	-0.0400631	-0.0117516
HG01612	HG01612	-0.0131433	0.0315999	0.0383143	0.00627772	-0.0206822	0.0630616
HG01613	HG01613	-0.0208998	0.0311746	0.00822778	0.0898252	-0.0179619	0.0391686
HG01615	HG01615	-0.0426308	0.0218921	0.0949514	-0.0533819	-0.0544984	-0.00172699
HG01617	HG01617	-0.0236335	-0.0639048	-0.0253352	0.0330519	-0.0359785	-0.0386593
HG01618	HG01618	-0.0117021	0.004726	0.01804	-0.000850759	0.0139679	-0.0669783
HG01619	HG01619	-0.0160624	-0.0347191	-0.0375481	-0.000409532	0.00928088	0.0544475
HG01620	HG01620	-0.0371863	0.0223997	-0.020881	0.0714747	-0.0921263	0.0691005
HG01623	HG01623	-0.019885	-0.0521526	0.0222129	-0.0495586	0.00322188	-0.00426187
HG01624	HG01624	-0.0523059	-0.0643753	0.0628274	0.0190868	-0.0223059	-0.0217246
HG01625	HG01625	-0.0337219	-0.00895821	0.0479621	0.0603385	0.00891998	-0.0142774
HG01626	HG01626	-0.0343187	-0.0815072	0.010294	-0.0590569	-0.0337745	0.048064
HG01628	HG01628	-0.0359675	-0.0567653	-0.00128083	-0.0388464	0.00547525	0.0181749
HG01630	HG01630	-0.0196823	-0.00659679	0.110322	-0.0402731	0.0666639	0.0176098
HG01631	HG01631	-0.0487753	-0.0217947	-0.0468164	0.0684135	0.00522754	-0.0657595
HG01632	HG01632	-0.00561916	-0.0300021	-0.0113249	-0.0211976	0.0363693	0.112755
HG01668	HG01668	-0.0334337	-0.0198407	-0.000601933	0.0320318	-0.0368753	-0.0229419
HG01669	HG01669	-0.0245575	-0.0197054	-0.0366438	0.0408379	0.00877003	0.0868474
HG01670	HG01670	-0.0463472	-0.0141229	0.00800873	-0.0365323	-0.0261691	0.0510623
HG01672	HG01672	-0.0326258	0.0414576	-0.0194807	-0.0157965	0.090292	-0.0970851
HG01673	HG01673	-0.0464948	-0.00915206	-0.0644861	-0.0763472	-0.0965307	-0.00523719
HG01675	HG01675	-0.0285085	-0.106281	0.0419608	-0.00921917	0.00390506	-0.0604761
HG01676	HG01676	-0.0456383	-0.0329229	0.10548	-0.00405049	0.0990389	-0.0103367
HG01678	HG01678	-0.0509124	-0.113202	0.0120942	0.0935813	0.0601521	-0.0219904
HG01679	HG01679	-0.0527513	0.0330665	0.0384885	-0.00470722	0.0367027	0.0318015
HG01680	HG01680	-0.0419685	-0.0335753	0.0147907	-0.0615969	0.0193225	0.0369353
HG01682	HG01682	-0.0168758	-0.0309218	-0.0115365	0.0233895	0.0436233	0.0137909
HG01684	HG01684	-0.0410668	0.0353934	0.0672158	0.0645381	-0.0578387	0.0731655
HG01685	HG01685	-0.0109941	-0.0736975	0.103568	-0.0165837	0.0150349	0.00796635
HG01686	HG01686	-0.0404544	-0.0116901	0.0151294	-0.0372563	-0.00354825	0.0078843
HG01694	HG01694	-0.0498913	-0.0145903	0.0254871	-0.0168746	-0.0032675	0.0712404
HG01695	HG01695	-0.0144164	-0.045076	0.0947287	-0.089471	-0.0275537	-0.0331963
HG01697	HG01697	-0.0335826	-0.0252419	0.0479435	0.00514303	-0.120023	0.0841354
HG01699	HG01699	-0.0506331	-0.00787794	0.0086599	0.069716	-0.0462411	0.0534717
HG01700	HG01700	-0.0459516	0.0183324	0.0483842	-0.0372275	0.00717621	0.0164401
HG01702	HG01702	-0.0181779	0.0124457	0.0889944	0.071838	-0.0365221	0.0914079
HG01704	HG01704	-0.0462663	-0.071191	-0.0197648	-0.125959	0.00418962	0.00183715
HG01705	HG01705	-0.0195408	0.0307159	0.0485991	-0.0616175	-0.00184876	0.0420276
HG01707	HG01707	-0.0225224	-0.0492699	0.0143939	0.0659595	-0.00764816	0.0152434
HG01708	HG01708	-0.0263762	0.0233548	-0.0104471	0.0222673	-0.0402937	-0.00669957
HG01709	HG01709	-0.0258933	0.00340218	0.00326089	0.00519732	0.0378879	-0.028604
HG01710	HG01710	-0.0310583	-0.0287717	0.00611624	-0.0239909	-0.0240704	0.0346001
HG01746	HG01746	-0.0392868	-0.013772	-0.0163998	-0.0386628	0.0524975	-0.0152687
HG01747	HG01747	-0.0388585	-0.00838319	0.105443	0.0581198	0.0177147	0.0459563
HG01756	HG01756	-0.0486018	0.0105395	0.00185422	-0.00296105	0.00607682	-0.0447154
HG01757	HG01757	-0.0250693	-0.0670715	0.0422276	0.0303405	-0.0562477	0.0078536
HG01761	HG01761	-0.0265485	0.023215	-0.0130217	-0.0176753	0.0285138	0.0503139
HG01762	HG01762	-0.0187597	0.0433523	0.0307262	-0.0362164	0.020963	0.0886727
HG01765	HG01765	-0.0327276	0.0203748	0.00425798	0.0579608	-0.0625417	0.043134
HG01766	HG01766	-0.0371647	0.0305242	0.0328307	0.0102736	-0.00749072	0.0496918
HG01767	HG01767	-0.0369678	-0.00910892	0.0801336	-0.0170927	0.0157405	0.0507452
HG01768	HG01768	-0.0525599	-0.0891346	-0.0709803	0.00123404	-0.053933	0.00642186
HG01770	HG01770	-0.0270972	0.0112184	0.0369331	-0.0506609	0.00211638	-0.00543912
HG01771	HG01771	-0.0215247	-0.00619438	0.0544812	0.11533	0.0582648	0.0721477
HG01773	HG01773	-0.048508	-0.023976	0.00638913	-0.0229343	-0.00717281	-0.0439801
HG01775	HG01775	-0.0218146	-0.0150035	-0.0350198	0.0545627	-0.0270929	-0.0418508
HG01776	HG01776	-0.0196371	-0.0404046	-0.00560843	0.0332195	0.018945	0.119682
HG01777	HG01777	-0.0499867	0.0381708	0.00546794	0.00291081	-0.00505209	0.0850329
HG01779	HG01779	-0.0291629	0.0264	-0.0166023	0.0155008	0.0237182	0.0191337
HG01781	HG01781	-0.0582309	0.0913512	-0.024251	0.0245488	-0.0319112	0.00528695
HG01783	HG01783	-0.0247644	-0.0193778	-0.012246	0.0680114	-0.0117177	0.0346898
HG01784	HG01784	-0.0229598	0.0130492	0.0678685	0.0183991	-0.102322	-0.0505297
HG01785	HG01785	-0.0224527	0.0161453	-0.0834292	-0.0492209	-0.0435521	-0.0335292
HG01786	HG01786	-0.0525628	-0.0225997	0.0119494	0.0684635	-0.0309722	0.028134
HG01789	HG01789	-0.00289716	0.0963572	-0.104379	-0.0424618	0.0475681	0.0123322
HG01790	HG01790	0.000445401	0.0413977	0.0469425	-0.00714324	-0.0376974	-0.0813273
HG01791	HG01791	-0.0146359	0.0022815	0.0102561	0.0620133	0.119388	0.0314013
HG02215	HG02215	0.015888	0.00515125	-0.0264849	-0.030156	-0.00435808	0.00956598
HG02219	HG02219	-0.0150715	-0.0414727	0.0152617	-0.0162996	-0.0346437	-0.111911
HG02220	HG02220	-0.031597	0.00954423	-0.028333	0.061501	0.042053	-0.0437671
HG02221	HG02221	-0.00602198	-0.0273237	0.092058	-0.00600371	0.014665	-0.0124431
HG02223	HG02223	-0.00162008	0.0208097	-0.0101757	0.0265821	-0.0190599	0.0231701
